swhid,file_id,length,local_path,filename,filepath
swh:1:cnt:0000000d15b50a835de56cb0447f1f457a957f80,fe74c83568481baa4fa85990176e817b39f3ddc6,52950,fe,bipartite_graph.py,graphs/bipartite_graph.py
swh:1:cnt:000000408789272dd7296fde2d299088907d6056,95ff084b9b15085e80ad2f9c4457b1e66dcb43e1,1989,95,tests.py,tests/tests.py
swh:1:cnt:0000015e538e3ecfc2de131bbcf6d8e450e1a8b4,3655b8c3d1b9d93a7165853f2125d2bd93e3a873,7621,36,urls.py,bookwyrm/urls.py
swh:1:cnt:0000015fb3e5338caf680debb639f8b1cf92bc78,5ad25a1f0be262b5b9e61678523f1a8cb18fcc9c,18668,5a,particle_mpm_solver.py,python_scripts/particle_mpm_solver.py
swh:1:cnt:000002fc1b7a550859c5e0e6d13e577c163dbf24,83e88f1144955a089f8f10cbb9f66a678c16137f,227,83,HRESULT_FROM_WIN32.py,HRESULT_FROM_WIN32.py
swh:1:cnt:0000030a38604f4b348995cccd211b1bb9ac5344,d059d3a5b5e46927f1946ae75e1d223c0e0bc885,15082,d0,sync.py,v2_alpha/sync.py
swh:1:cnt:00000334f2047789ee3d5bb858fbfa682fede21c,83f3af94ef4625ff09bad7e59413dc9f0b949108,510,83,conanfile.py,adapters_base/conanfile.py
swh:1:cnt:000003c8af7aee2e9d566125223f3aec9204c1bb,699289554ac26dafcc3d20eef09a2bd4cf388ee2,4335,69,list.py,cli/list.py
swh:1:cnt:0000047ed9d5719c1f1219022a7d2ee2c0459ba3,e7e6b4acd3d9e1d979c00f6d39ab647d91a38bb7,4627,e7,actual_files.py,file_contents/actual_files.py
swh:1:cnt:00000510b2de36fa860b9a74764169beb915e6d2,29022c6a96fec2368a5038c19f6f83284d7ef4a6,2309,29,models.py,tea/models.py
swh:1:cnt:0000057f9261fc12eabefc1fcc6cb9ea4b0af453,4ee766291ab5413cb5c40e8d3419322f8e873f0d,7644,4e,block_diagonal_lazy_tensor.py,lazy/block_diagonal_lazy_tensor.py
swh:1:cnt:000006604783a0383970e67784e4bda4e305f8ae,ec5a3b873ebc23e1014cec9ad8cdc963b6347a8d,3789,ec,web_submissions.py,tests/web_submissions.py
swh:1:cnt:0000070779cbf0ccc1ecf39a28c7556b5dc2a440,8c5d61940288232fbf1ad10849f73acd4f1df3e1,6328,8c,game.py,swervin_mervin/game.py
swh:1:cnt:00000755ae17eefb4bb78257dcc3e46bd95889d8,4ffea11b40b2cf3328643a98e58232a76bb05fed,34387,4f,backgammon_game.py,board_games/backgammon_game.py
swh:1:cnt:00000782713438addeda4dbb00a9f136c4320c8b,1cad6bae6f6d9067ca949b944a78530adf0d1c9d,7645,1c,RHL.py,oz/RHL.py
swh:1:cnt:000008044f2afe160086e6bbc23d9f78ec00301d,3529e619482ab0808412bdb5445cccd0c5f7bfcb,35769,35,space.py,modsym/space.py
swh:1:cnt:00000872326e5e3634839e420490b96180ae5002,fa8f980fa8facf337fad5462e663dd5e508d7969,3722,fa,TUview.py,modules/TUview.py
swh:1:cnt:00000a8644045019135aa41a8b72dfb4bda6df58,ab2cd4da524e7c6e181be69764545e14ee392be4,8642,ab,forms.py,routers/forms.py
swh:1:cnt:00000b4b4722678cd87c85bd3d05f525c6cb97bc,3a2e02d89152225e60545d4d34f8950f37bf0845,43215,3a,audioTrainTest.py,pyAudioAnalysis/audioTrainTest.py
swh:1:cnt:00000b8a379c363b677edb36ba796b21e59058bb,889aeb8c2379521b374c71363b0f37314ff46139,5200,88,urls.py,ortoloco/urls.py
swh:1:cnt:00000bcf3457b92084400e9e3816d72ebec47553,8640d4f8870f9bb9d970d63110f13bc566bab367,10940,86,test_ftprocessor.py,tests/test_ftprocessor.py
swh:1:cnt:00000bd42eb0fede32a12df25afb6dc5d60d4710,07a4ba41aa620d7c0d3a2dc1dbec9d79fb096589,10530,07,image.py,patterns/image.py
swh:1:cnt:00000ce7bc36957e614664d05d6ea8cbe8a0b7d4,31a1f54f33820437fd134d8f1aa82bd47612d8e8,1629,31,choose.py,src/choose.py
swh:1:cnt:00000d66b7f077252998b70443c4b18b9a4b2a18,92418bed29539ba5ea2e32ed7d61a5f42dfd8b50,1995,92,admin.py,convapi/admin.py
swh:1:cnt:00000e52466f52fac8e04137f38fc753da6a4bd4,330a077d8bfa6a867e9b0c80bc09d27160691790,15857,33,utility.py,ext/utility.py
swh:1:cnt:00000e9e6623590942145f4afb72385bb9768a29,5ee96ea2e2822140c3ad552ea483a117efabc3a5,3339,5e,test_serializers.py,tests/test_serializers.py
swh:1:cnt:00000edcfe882a087eb723a3af0440abf3c2f578,a9add9ca825b6b25d96dd503d7ac7a43c9c51c37,11015,a9,mass_editing.py,mass_editing.py
swh:1:cnt:00000f23dbba342f314e3427095c71c27a7f39c4,8ad53ab91713c7268869d9826baae196269c8234,49398,8a,amendthemedialog.py,ui/amendthemedialog.py
swh:1:cnt:00000f7881a6bbb6a025b0be27cd24487b62cec0,5a7497e56fb86c0b803da0a8b2c3efeffd5906aa,6983,5a,models.py,debconf_website/models.py
swh:1:cnt:000010861b0b06fe5a135d6800a63db6ab8df155,7866c28d1cd937f8f52d6adfd1f9a7b50830a054,9052,78,__init__.py,mysql/__init__.py
swh:1:cnt:000010c6350862e840980d6a2b54296dbd4103d3,d6fa2b93d04c9e2aeb4803b3dc8340ef7872f7ee,5487,d6,cli.py,pyflexplot/cli.py
swh:1:cnt:00001150305decbb25af0c049ea8e6228e84f9cc,799b033008ac19cec44657f517c94e6ce6fdfc9d,10838,79,column_views.py,workflow/column_views.py
swh:1:cnt:000011867d7aeb31900148c1450c2ead6de7a081,77a4d039268c297838ef348792dce859a865e608,130622,77,util.py,mercurial/util.py
swh:1:cnt:0000126ac64e543cdb719941bdc7519addf2b148,ad0905c06708adcb54d2697860dcc2a3cb64d2da,4220,ad,internal.py,common/internal.py
swh:1:cnt:0000127cfffd7f59f47f17505f7218ae02ff82dc,f8dd09752a3dd2627ca03e93c278d49a22f4fdc5,2373,f8,tfidf.py,preprocessing/tfidf.py
swh:1:cnt:000012cd6d57368c940ce4f5758c868bedfff79a,05afae7017d49305e0de5dee2da825649b098ad3,16424,05,eventSelection.py,python/eventSelection.py
swh:1:cnt:000013dabb50a2f9bef8b4fc3df8eda353e799df,69238547acb5514e576caa4efeb24ba2bc0de6b5,2518,69,GroundProp.py,src/GroundProp.py
swh:1:cnt:000014323a3e97041e1dc06198309cba15894b36,03a260b9c13fb4ca73171c04c32034833e5a8a67,10215,03,ContentMastering.py,ContentMastering.py
swh:1:cnt:000015184d728a8a4dba0a9f12e35a74acd7f7f5,c70ebf56834ca4f25653553bca1bb3b3530ede5f,37557,c7,base_trait.py,traits/base_trait.py
swh:1:cnt:00001600da0540987911e437a2fe3e8137a9818c,ed7b0fcfd63dbf9044777b3af974762c1a85ed9c,11809,ed,test_pkey.py,tests/test_pkey.py
swh:1:cnt:000017979c951197a1de8ab297e092d27c1c0b63,9292ec0e9b76152bad391ea713f374f1ef1bd642,23076,92,appliance_wizard.py,dialogs/appliance_wizard.py
swh:1:cnt:000018f03ee722241ecc172ab5e177e4093e1448,fc02aa1a43de9d286dad618d7f87f2c13a085c8f,8236,fc,test_services.py,test/test_services.py
swh:1:cnt:0000192de1b73b2081243b57ef9f6ee90a7609c9,21092fc5ce4e8567686c2c4f5224c139a95748fc,1818,21,mcafeeatr_github_iocs.py,public/mcafeeatr_github_iocs.py
swh:1:cnt:000019abb51cb48fa9d83942f6ad09c4d43a2ca3,d44018d3982beac8684e1cdf694d0b9e72f05042,10853,d4,sensor.py,seventeentrack/sensor.py
swh:1:cnt:00001a0a2c2018f4f3e4e4b8507fe84315fa5cb3,c671d36fd953fe9778ee34bcc372bb53b24ec244,6141,c6,db.py,db.py
swh:1:cnt:00001a138e3666f1d95a9ad0c1d66ac95e45eca4,6a5a2d3578c4f4e1a6fdc45fafe95a603cd36ff8,60202,6a,test_openmetrics.py,tests/test_openmetrics.py
swh:1:cnt:00001a5cc4d3dc9337e44fab3f16d0abf4845b40,7ba3b760b2f5227e3493eb0d1870623303dc9e32,4476,7b,scheduler.py,autoposter/scheduler.py
swh:1:cnt:00001b76552f0409bf8dc42bba9443e4e162185e,ec12ce824c63dcc36678291e1a92ba07bc851a94,482,ec,actions.py,libspiro/actions.py
swh:1:cnt:00001b858699dacd3663fa7c44a5580064a3e6a0,3f6b08aea716b8e4745c2d6c3a822a880161a136,7095,3f,PostProcessing.py,Prototypes/PostProcessing.py
swh:1:cnt:00001bb647a6d8b5cd243c64e790470b390b014a,20efe757c4635f065643682e08be9481fed9e328,14248,20,gnsync.py,geeknote/gnsync.py
swh:1:cnt:00001bdcd7b7bcc6b268380986fc25e40b8174b2,065b3f54eb0ab76de0949851ebca91a27ed0edd8,20209,06,postgresql_user.py,postgresql/postgresql_user.py
swh:1:cnt:00001d54f1c5c021ae6a24c5fbea92d75cbaaf7b,f53d15a6f04c131a3eeb372c5e07367e33071d40,594,f5,util.py,tests/util.py
swh:1:cnt:00001e186c361dce7f421b91e23070ca9f70f1f7,c628bff41266c1edaa198706841189e759833b42,4585,c6,client.py,alignakbackend_api_client/client.py
swh:1:cnt:00001e4e5254a0f2d3a37a4f48a9832ed46ce3f7,a57d5cccab081e55705c2bd83d242f58b47a8a58,233,a5,error.py,type/error.py
swh:1:cnt:00001ee4270d11f8c90d314ee6db2dfc4304e178,895a7819cc2744c5cfc7f660e612fd347f57bc6c,14763,89,context.py,compiler/context.py
swh:1:cnt:00001eee0d4bc409dec1c89ce31c8a312bec9127,08ab9b5b7cd931e66eaa39e5a72cb4935e4223a3,23404,08,external.py,lib/external.py
swh:1:cnt:00001f1e0616630e379a4589ec79505f83844456,c59bfa2b2efaf3af460695d3a7f181a1bcc83dbb,1434,c5,__init__.py,usage/__init__.py
swh:1:cnt:00001f5c5e29df5b27ea7c9547425d0666746f14,eb9aa4019fae3c8ee0ad917760e9f9b88612eb3c,2040,eb,t_PostAnalyticalControlledImportanceSampling_std.py,test/t_PostAnalyticalControlledImportanceSampling_std.py
swh:1:cnt:00002013a1b73829a80922c5bad9a591385dad51,0fa07034ad9ee82e81885fbb6992df4ec7ecdef8,3283,0f,definitions.py,schema/definitions.py
swh:1:cnt:000020735de90aa2660df49ee13139b47c19310a,7289897712f6818cceb815a22f19c68cb90a3705,11119,72,ufal-transcriber2ufal-audio.py,corpustools/ufal-transcriber2ufal-audio.py
swh:1:cnt:000020b7e14781f085299d86ab647cc4a74ce42b,7c1421ea0c07514c9c6a87355421a461ce7e4d91,5387,7c,connectors.py,ui/connectors.py
swh:1:cnt:000021115ea5f61552461407ba821af37fabed29,b6c844810ced22dbff25dfab91ea770addd2ef80,1473,b6,importmerge.gpr.py,ImportMerge/importmerge.gpr.py
swh:1:cnt:000021d45cab24634868a954299be932bb31c17e,ebf627f3a3cecfea1daa02b8d74036839578b7fb,18560,eb,purchase.py,models/purchase.py
swh:1:cnt:000022af808042263089b20df46fc6997da95e37,44923dbd446775123c0862b334efd514e630cfa0,318,44,Calculate.py,trade/Calculate.py
swh:1:cnt:000022c19a18caf212b98e163b61e3288ada26fc,d35303d408023537ae363afe22a343a34d6bad59,73387,d3,toolbars.py,gui_modules/toolbars.py
swh:1:cnt:000022fb1cfb4adec8aada9ff42eb69701816fb0,bd830df2189f0811bf6c46be8aa61315c5e93c9c,14542,bd,models.py,id/models.py
swh:1:cnt:000022fed9f5bee7fa7ed6001c71bc8332fad4c1,e413b15856d00f90d37c5d6bdcc08a1d89e4fa45,11354,e4,exiftool.py,exiftool.py
swh:1:cnt:000023ee43885b0ee67aee40dec2657eb39ed6ad,9f4f29242dc3bea1f3f182c2084be847e8e1880a,69499,9f,vistrail_controller.py,gui/vistrail_controller.py
swh:1:cnt:000024e1a5498574855411c0b8e8f261015046bf,8e01312763aeaa0e307b37781da403fc89e3c96b,36,8e,hellorockstar.py,hellorockstar.py
swh:1:cnt:000024eeabb116a3f1c4c7191d2583ca219808c3,dad53a5b836c7c4093940dc84a212badf6d4469f,3487,da,compare_alpha_diversity.py,scripts/compare_alpha_diversity.py
swh:1:cnt:000025bf0e76b2dfc833d368685b625e16e2d2c8,c9a72831b870115f26161873f58e6c10f7ea1539,13528,c9,e2rct.py,programs/e2rct.py
swh:1:cnt:0000262166fd84047bdefacaafee3f0e69ff662f,6ae5eaeae66f614ab43b5632ea7056ab8535e3ea,8686,6a,find_obs.py,scripts/find_obs.py
swh:1:cnt:000026596f9eb03f0fdc0c54c8446ecc03f164b8,1f199fe65457c649b401743556c7aae864175adc,3170,1f,021_binconf.py,nick/021_binconf.py
swh:1:cnt:000027221756fc0301a0a59536dd7ced332117df,261f0a7ea17be8bf6bfd2704b037bcac51d282fb,5617,26,forms.py,products/forms.py
swh:1:cnt:000027224bd43ad4f8fd31321f033756198cce29,aae16fb6747e5e73a90d4dd36a5bb9409e738ebf,1816,aa,jpf-core.py,tools/jpf-core.py
swh:1:cnt:000027957c0bb1f5108fca988f716cad4482dd1e,88a43a222f30e96fae5493787aaae795eb8048ca,1838,88,test_alerts.py,tests/test_alerts.py
swh:1:cnt:00002a7b0073fe4da9059e1d054c830a6613ec05,8790429f390a701f98c2ec139fa4cdf4f64cfcdd,3956,87,WriteData.py,mods/WriteData.py
swh:1:cnt:00002a9eeba407c23ad9990f68294410be557ccc,1ccb302ae2020fea9a9b2da3f6fe91e581c785ac,11137,1c,unittest_similar.py,checkers/unittest_similar.py
swh:1:cnt:00002b065142f3e1119e4d5f071aac50c421ad7b,794baaac51d0901df83cc14779e02255dcd33252,426,79,items.py,chicago/items.py
swh:1:cnt:00002ba6280b946cab1882e1d35572f28b52c85a,4ef67a898c219ec515b0ebb17bc1b4600249bc96,8177,4e,data_connector.py,data_connector/data_connector.py
swh:1:cnt:00002bd188940a9262c4696543185c5fcfdc6c6b,76db1f68cb04f4a95f225650bdd7fe5de2337d67,36,76,heloWorld.py,heloWorld.py
swh:1:cnt:00002c1995eb48165c9defe9623fdd18be610697,89ac4adf08a487152931f0e3c16ffc3233aba264,21416,89,parseCmd.py,bin/parseCmd.py
swh:1:cnt:00002cc43fb8aa1ddaf54d2c199d2f17920ebeef,6fe7cb1c26419b3a170c47633e9b9adbbb0f09b0,16947,6f,container.py,storage/container.py
swh:1:cnt:00002d08fb6786965bc667db9b3c9d5b6259df18,59e030306c367bcdb232e594bf5c75db9480b55d,75422,59,setup.py,experiment/setup.py
swh:1:cnt:00002d1ae54e4967ac5e89656e45186b873dfc0c,c05de7a994f3561f35b97364b4361a0be6d99329,12601,c0,Models.py,Signals/Models.py
swh:1:cnt:00002e0dd03d0f7a3df33f52c7344813c34db4d1,34b0b712fcfb96c1311b8c7a6ed3c4e7cb67fdf5,60195,34,context.py,mindspore/context.py
swh:1:cnt:00002f09c9f459871230d4c99298e43581532c33,b6a1ef6c82eb95d68ae347641511a933e878a7d1,1569,b6,cache.py,getdeps/cache.py
swh:1:cnt:00002f1e227087d1b7c5a208aec1cb51c69e38de,c11eabd9d17320e54ecfba26136074d47025bb93,42151,c1,call_peak.py,src/call_peak.py
swh:1:cnt:00002ff8fd43a5bb9a421106b554bcc221e638dc,12c776dac472aecb983622dbbf4203cb5094b84d,18637,12,demo11.py,examples/demo11.py
swh:1:cnt:000031a5ffb01d96a7255df66a01a54e4a9b4a66,f4248e124146c61a0fe11263fd82a1ec468d7aa7,1897,f4,template.py,mypinnings/template.py
swh:1:cnt:000031f34238d03d1f64a96e6be224cfb963220a,7d5b67bc4fe56860ffa56d6a91e8f9b33fb7941c,36666,7d,plot_script.py,thermodyn_diagtool/plot_script.py
swh:1:cnt:0000327e83106a68ca0d33f99144faec10804d73,e823874f071b991d6d813c97ac0d2b3169c597b1,21107,e8,aptd.py,backend/aptd.py
swh:1:cnt:0000329d175b966a2be88e1db7ca2d094971152e,7caa9a5f8e4c0faa1226fd32196f8c9933ad6d22,2198,7c,setup.py,setup.py
swh:1:cnt:000032c5a404cb1cf09994bfbb5fa52704c7fd5e,1b2aeefb7a0e53378a1468c4cc82973445164ea2,2451,1b,rendering_microbenchmark_test.py,examples/rendering_microbenchmark_test.py
swh:1:cnt:0000348287acd08257c59ae90fd1977e3c5628cd,205a12487fef6fff791d128cecc12f1bd015f768,3693,20,testTimeoutRelated.py,tests/testTimeoutRelated.py
swh:1:cnt:00003547e8e9b8baff5c798cafba7d0b3b392793,9dcf6c287b6eaa0aa4d85e140da8cd75dd2b60ec,217986,9d,runner.py,tests/runner.py
swh:1:cnt:00003644da0a219930a2dd88909833a06500b64b,dbd6dc0c18d535696225540fee997d6800b18bc3,15946,db,operators.py,multi_user/operators.py
swh:1:cnt:0000367aff1e7f2108350545f56308c04ad88611,54b448a0e2ebb8074fb0c81a435aef99bf957c90,4243,54,test_robot.py,protocol/test_robot.py
swh:1:cnt:000036a767ad568c0b82c401eacbb4ca37078109,47c9cd6822b31f3f984853dab7697616af28d105,17986,47,kickstart_guest.py,rhnkickstart/kickstart_guest.py
swh:1:cnt:000037fab0cf8a0ca9907b1edbe6cb63952c1685,75fc5f73cbe7647248d556c16c7943aa05cde7a3,5221,75,serializers.py,workflow/serializers.py
swh:1:cnt:0000388d634c82d943f2e9b7ea6f2f054e4780da,1a78d428855ee3594bbc0df5e9495fbc3a326bd8,1461,1a,local.py,settings/local.py
swh:1:cnt:000038e9ff59dd4f1c3ca9467af86f4dc83f323e,f8e7ee5fd77d1f9d3054ab0613f79fe624a2e654,1332,f8,MyProject.py,MyProject.py
swh:1:cnt:000038f88a07c9a8256a6d3b58b30f82ec5f270b,77e8876fe8e4bb4fd478bb2a88666ba2bd915997,8473,77,dircmp.py,filesys/dircmp.py
swh:1:cnt:00003939c5e29e03526754fd0c79640b9d965674,a3bf88608aafc53e5f43594eb127088ec49c7670,11409,a3,test_cvae.py,test/test_cvae.py
swh:1:cnt:0000394f8857ec3cf2875db488f1f06e2a2338ca,67a561c082c9e25a864e46427bfbdd3ac00bf95f,1639,67,alias.py,setups/alias.py
swh:1:cnt:00003a51fe2783fe9f4bf5704ed3585517e8076f,d0ab7ccc3264c7df74713ba6e9faf962fb0d0d02,11090,d0,hub.py,gevent/hub.py
swh:1:cnt:00003b2e3c00e08e46be4469fd9abf1f69e09c0c,0a7a695cdaa60b28dca40a9360b944633bccf1b7,7486,0a,test_views.py,tests/test_views.py
swh:1:cnt:00003b6a933204f38301c08920a793a370f80973,1e707e61417d6a022cc89d5ef8c6422930395c2b,1254,1e,sub_arom.py,substructure/sub_arom.py
swh:1:cnt:00003bb38c78e9910c29438ab1e11187f5984141,1ba47b5aeb422088a23b4e755e99b4bef3e85ccd,12717,1b,easyslides.py,importers/easyslides.py
swh:1:cnt:00003c04121a9b3b9b98ea9c0bdd5fb45a0b9930,b89b6992fd234372feedc20cd286b7b2875c820c,6169,b8,run2006_77_cfg.py,python/run2006_77_cfg.py
swh:1:cnt:00003c3f84b1d842b6819871e2132c471918fa01,d1edb172cffe300bd5e163959fda8fe6416abd14,73476,d1,app.py,rest_cherrypy/app.py
swh:1:cnt:00003c4ead9ceb0c8871267995407df8be4c2b12,12c744cbac90a9af8245b3281236470636b7e542,86254,12,Mechanism.py,Mechanisms/Mechanism.py
swh:1:cnt:00003c8d670dc51665e1a36d0f2559252b30951e,b15b979614e1dc511292b8385d1b22f46ddc53be,17700,b1,auto_roll_test.py,blink_roller/auto_roll_test.py
swh:1:cnt:00003cda63646507865ab7a3f5ac0cf2d9555308,f8289f5c32319d29bea548dd4e04e3b4620a2b3a,50750,f8,hmm.py,tag/hmm.py
swh:1:cnt:00003cdf4f770805c4c4567000d5e4fd3b0b6bf3,8acfdcefc016280d86c5cc177fa4c3860618d7b7,2812,8a,mn_loft_splines.py,spline/mn_loft_splines.py
swh:1:cnt:00003d553a1cefdb7ca6d931d3d193ee1d688232,d268604cb09b7c4d490cb43f435cea01c31a32e6,34621,d2,hr_timesheet_sheet.py,hr_timesheet_sheet/hr_timesheet_sheet.py
swh:1:cnt:00003d798dffd112fb092ad1891d22923765cb79,d7452dd4e134acee3420e45e8e475a1617d2781b,8956,d7,update_tpm_permissions.py,commands/update_tpm_permissions.py
swh:1:cnt:00003e3e443462f274dca420aff33dfb8cd80fb5,0b4bf71197fd133c93c920e6dd3479c3dbfa7ae0,2423,0b,clean-deleted-account.py,clean-deleted-account.py
swh:1:cnt:00003f79302b0887a9378bc509ed07f3e30ae831,e29a5509d6f0fa2f05467cb1ce97e5a044d4e60f,30159,e2,filesystem_test.py,general/filesystem_test.py
swh:1:cnt:00003f95f631de494200049b7e922a575e2118a5,ff57bb0dad4c23539245c0ae87383182f5397ec8,6540,ff,unit_layout.py,virtaal/unit_layout.py
swh:1:cnt:00003fd9409137358eebd37935c7afe09b64743b,1441ab55bda7a3faf61c6d4152d5408c43306ce3,18958,14,client.py,executor/client.py
swh:1:cnt:000040d3eb6634c7fd8c393366e1871f9aa8449e,d96553df0582b18e9b9d328f67363f0eed153636,51268,d9,iptables.py,modules/iptables.py
swh:1:cnt:0000410148c3ffbd4b2c5e968a4b9d6a6c9a4ab2,04b73e0318c640a6f8122095d6a2b75cb7b4c324,21505,04,_virtual_network_peerings_operations.py,operations/_virtual_network_peerings_operations.py
swh:1:cnt:000041e7c1cda1aabc021afbf2478492a802cf58,ac693f9f9734db01f4e8a75cbee3ccc2974f95c5,7883,ac,config.py,pylama/config.py
swh:1:cnt:0000422af1b76c9efbaf451b753f6b28d509b6e2,586e06bd77e58c071cb96d83c5366cd141dd4d6d,11559,58,models.py,metapolator/models.py
swh:1:cnt:000042a4236f116cd7332450c109a7b7f681cfba,38f7caf821a3f102115ada08ce6c568f1a8eebe2,7539,38,stats.py,hazardlib/stats.py
swh:1:cnt:000042cb663c37d28cf62f2533e237dcbc97aebd,a0c6619aeca43fe9df24a38d3ee6b03b31a863ad,51344,a0,strata.py,flat_surfaces/strata.py
swh:1:cnt:00004305f6c01d5276e64ce6341d6695b566a2e7,fd23e00a60eb139c00fe2f5bc1cde063d5cfbc73,139,fd,views.py,programs/views.py
swh:1:cnt:0000434df4b4bff69cf693fda3e400df9b38eee1,c76b6ecee18e7777444e613159af188e90183a0f,1203,c7,base.py,handlers/base.py
swh:1:cnt:0000438d23f264282747b64cbc0dde27c57afc8e,fa6280e55aa449ac89ffdb3fc3099a84d29a162c,60793,fa,AnagraficaComplessa.py,ui/AnagraficaComplessa.py
swh:1:cnt:000043be62a52d6398927e1646391eebd6ea5217,1c177eef574c0ed49f4f6c28cd63e24004cf062f,40827,1c,buying_controller.py,controllers/buying_controller.py
swh:1:cnt:000043c9842671adadfed312697660039ee78d09,3dfefe1de65f44d32938905b2158fc8e594365d0,14259,3d,gnome.py,Tools/gnome.py
swh:1:cnt:000043f9a6eca115af3257abe840560e861263dd,1e6d1ad652d83f8dbf4142b5e12e80cd272d3ebc,3328,1e,visualization.py,views/visualization.py
swh:1:cnt:0000445e331477ad5455a471df72acd2455ce3e7,99670701f9e5d135709727ae7638b27dc454d7b4,19015,99,api.py,pisi/api.py
swh:1:cnt:000044a5cc0f98c594bea34c2c10840edc59f6db,3f44e27dc2d0f6f3f4ec12c3d88ba356106b3ee2,16229,3f,install.py,cli/install.py
swh:1:cnt:0000461d2cb80b9fe72b142ab117100d7bb39f0c,ddec5743d6ac00f5da3fde1b391da14d755fff7f,4312,dd,interface.py,exchange/interface.py
swh:1:cnt:000046da30b3d3c393b8ab978fdea1e2c91a5782,8c0969782c1cda3367f22c32e255ecd43986070a,58881,8c,leoTest.py,core/leoTest.py
swh:1:cnt:0000472c03d8a1a0b7032fae88d60c5cdf908e50,e1c03bacd23d0e22f3b7c5c44d2c9a8c542099de,647,e1,__init__.py,motores/__init__.py
swh:1:cnt:000048a423c1924983fc7141a5e1d22a64a7aaf5,9ba18d1959edb12a5a2f3ce7b60c840a0dafe433,36,9b,helloWorld.py,helloWorld.py
swh:1:cnt:000048b342f59976ba08cd0c3e71e3f4cfbe9593,c1ea0f7d4819a7fc60e4a625b20d1b15e380f0b1,23838,c1,__init__.py,pagure/__init__.py
swh:1:cnt:000048b50ef7112ee05fa1502a48929b26b61434,11a60a9a017c9cdc53d6acf9c6f04b22e25107f7,22535,11,__init__.py,custom_exceptions/__init__.py
swh:1:cnt:000049501d109493f0557770545dd5db63b8ba8c,2a2fb9ca0d9c898fe4b9a3bf1851f37291e6580f,28342,2a,pricing_context.py,models/pricing_context.py
swh:1:cnt:00004a30378ea1e5fc9b682f7231b17d458a07f0,55fbeeb30677168fd221b2eeb6a64194add7d61c,102680,55,concurrent_select.py,stress/concurrent_select.py
swh:1:cnt:00004affe89ee392765927c1c944cc005903ce6c,24acfe891424080ed54f21937b9d2474324b5c60,878,24,FilejungleCom.py,hoster/FilejungleCom.py
swh:1:cnt:00004b4895ba5d202234a83eefd921bd1fa91eb8,c45227d2844621c4a9222b56303c5e2d5f6ca945,9816,c4,models.py,ressource/models.py
swh:1:cnt:00004b74c00483c8715994c26a01ddfd7708f8fd,f4f83b48a4605e0919a6053c85b19e182980f6c7,13553,f4,MimeTypesManager.py,demo/MimeTypesManager.py
swh:1:cnt:00004d0930dd6bb43a971a71376074cf5772f9a1,77af51816e1e869870a24828b0a7c30b92ce37b7,1767,77,searchdatasource.py,query/searchdatasource.py
swh:1:cnt:00004d246abf4bf2f13508624c1a0d89e8788c54,a9ac029f67b67b94e4b9e1f86ed7e6785e707894,18690,a9,test_watcher.py,tests/test_watcher.py
swh:1:cnt:00004dbf88d9627a3efb85818ce59ae66cecba6f,5858c516999247e636a9a15a1c639e932e71a1bb,3016,58,test_suite.py,agilent/test_suite.py
swh:1:cnt:00004dde873bcc693bc805b03255473e8ff6b8ad,5f7d435651cbbf1e3b24615c8feee60b31b4b0bc,48205,5f,pulsarpputils.py,TDS_isolated/pulsarpputils.py
swh:1:cnt:00004de7b67a2065fb288175d7573924bf5eecca,5efc9e9995cc749b7d3dc6429227743ac483dad8,1743,5e,quantile_summaries_test.py,test/quantile_summaries_test.py
swh:1:cnt:00004e6206b32684e87a953d57f1e77adc311fd7,c7a8e0d7eadb5a089d8286d320fabb093f0fb705,46445,c7,main.py,mcomix/main.py
swh:1:cnt:00004f2de71c75ad2b1d1b879b1536c729a342d3,6d543f3b308e57bbb404b8c75b906d2875419cd5,11601,6d,storage.py,staticfiles/storage.py
swh:1:cnt:00005052179c484199cd92836776b194ac8c7659,060acfc71f85fcc5ec40ae9cde37cef2d940aa21,16079,06,catalogs.py,drizzlepac/catalogs.py
swh:1:cnt:000050924976c3591c465e9107c54153c92a2fd1,fdf107fbd3c895494d30560cb659c4214477d430,6964,fd,build_swiftlang.py,internal/build_swiftlang.py
swh:1:cnt:000050b8e07810fb2c17f4a313298573624aca4d,644ece00c2068b79079e85ffa4d96e6026f05096,6897,64,models.py,deepul_helper/models.py
swh:1:cnt:0000515305baeccf6bdeb7d1530d784f117782b6,a3d008d1ed902a024182a3d89d2bb697ea4607d5,2795,a3,zttpolarisationdatacards.py,datacards/zttpolarisationdatacards.py
swh:1:cnt:0000522193a79805c909c350190e34ca07ee1ee4,5b09efd92bd4d21756358851c35bb611bea46fee,7833,5b,diff.py,compare/diff.py
swh:1:cnt:000052836606a5b6040df3318165699476aad8d5,64f50193f58a54424e01c28741b0a6e65bb59439,635,64,_prepare.py,actions/_prepare.py
swh:1:cnt:000052935a1d530daed725f785188e336b16adb3,3cc0a6f255767f0a271bc75f766200b216661882,248,3c,sentry.py,templatetags/sentry.py
swh:1:cnt:00005312eb53df3049bd7285f14d1abd10496aa3,3605f307f8c8dcbd9169a60522d9e029eb06dc12,2070,36,urls.py,nablaweb/urls.py
swh:1:cnt:0000533e74a1079adbfd5331c28c150247237cce,0bbe46798196f12d704e123d8f10d65a90f022ac,2470,0b,axis_changer_view.py,AxisChanger/axis_changer_view.py
